dataset_key,scenario,k_true,data_seed,sampler,n_chains,k_model,warmup,posterior,r_total,burn_in,thin,seed,a_mu,a_delta,dirichlet_a,num_integration_steps
std_s01,standard,1,1,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s02,standard,1,2,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s03,standard,1,3,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s04,standard,1,4,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s05,standard,1,5,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s06,standard,1,6,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s07,standard,1,7,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s08,standard,1,8,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s09,standard,1,9,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s10,standard,1,10,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s11,standard,1,11,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s12,standard,1,12,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s13,standard,1,13,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s14,standard,1,14,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s15,standard,1,15,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s16,standard,1,16,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s17,standard,1,17,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s18,standard,1,18,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s19,standard,1,19,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s20,standard,1,20,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s21,standard,1,21,bayesm,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
